latitude,longitude,target,temperature,humidity,wind_speed,precipitation,soil_moisture
0.05836,29.59085,1,24.1,69.0,1.8,0.0,0.277
0.48765,31.5076,1,21.3,89.0,6.4,0.0,0.318
2.15227,13.94524,1,25.0,92.0,3.1,0.1,0.413
2.15681,13.94618,1,25.0,92.0,3.1,0.1,0.413
2.15754,13.94131,1,25.0,92.0,3.1,0.1,0.413
2.62829,16.06323,1,23.7,98.0,2.0,0.0,0.484
2.80413,18.02321,1,26.4,78.0,11.2,0.1,0.354
2.8077,18.02378,1,26.4,78.0,11.2,0.1,0.354
3.11528,14.96291,1,23.4,99.0,7.6,0.5,0.467
3.37078,17.17999,1,23.3,99.0,3.2,0.0,0.315
3.56934,13.40703,1,25.0,82.0,2.8,0.3,0.396
3.57418,13.40781,1,25.0,82.0,2.8,0.3,0.396
4.01366,7.49089,1,26.5,83.0,22.6,0.0,0.0
4.01461,7.48394,1,26.5,83.0,22.6,0.0,0.0
4.01796,7.49283,1,26.5,83.0,22.6,0.0,0.0
4.01896,7.48588,1,26.5,83.0,22.6,0.0,0.0
4.02078,7.49197,1,26.5,83.0,22.6,0.0,0.0
4.02174,7.48502,1,26.5,83.0,22.6,0.0,0.0
4.14553,7.9694,1,26.8,82.0,22.3,0.0,0.0
4.30681,7.65534,1,26.5,83.0,25.4,0.0,0.0
8.53433,16.79184,1,25.8,91.0,7.1,2.7,0.368
-6.81186,31.00125,1,26.3,30.0,13.3,0.0,0.106
-6.80639,30.99632,1,26.3,30.0,13.3,0.0,0.106
-6.80456,30.9965,1,26.3,30.0,13.3,0.0,0.106
-6.7453,30.69428,1,24.0,50.0,8.9,0.0,0.234
-6.74463,30.68914,1,24.0,50.0,8.9,0.0,0.234
-6.74436,30.68953,1,24.0,50.0,8.9,0.0,0.234
-6.66798,30.65666,1,21.9,55.0,5.1,0.0,0.134
-6.3607,27.54083,1,32.3,18.0,14.6,0.0,0.182
-6.28511,27.57042,1,32.6,18.0,13.1,0.0,0.183
-6.17848,28.24623,1,29.9,27.0,13.7,0.0,0.207
-6.17302,28.24696,1,29.9,27.0,13.7,0.0,0.207
-6.16807,28.25129,1,29.9,27.0,13.7,0.0,0.207
-6.16757,28.24775,1,29.9,27.0,13.7,0.0,0.207
-6.16707,28.24419,1,29.9,27.0,13.7,0.0,0.207
-6.12835,27.51971,1,33.2,19.0,7.3,0.0,0.189
-6.11414,27.5317,1,33.2,19.0,7.3,0.0,0.189
-6.1137,27.52855,1,33.2,19.0,7.3,0.0,0.189
-6.10853,27.52944,1,33.6,19.0,6.6,0.0,0.188
-6.10768,27.52324,1,33.6,19.0,6.6,0.0,0.188
-6.10307,28.96329,1,21.7,48.0,5.5,0.0,0.232
-6.03457,26.22818,1,30.8,20.0,6.3,0.0,0.239
-6.01439,26.63737,1,32.8,17.0,9.1,0.0,0.233
-6.00723,26.62191,1,32.8,17.0,9.1,0.0,0.233
